Descriptions,Specifications,Cartype,original_price,original_price,original_price,Discounts
2021 Hyundai VENUE,"11,197 km1st OwnerPetrol",S MT 1.2 KAPPA Manual,"₹936,099","₹936,100","₹936,101",
2017 Maruti IGNIS,"31,550 km2nd OwnerPetrol",ZETA 1.2 K12 AMT Automatic,"₹549,099","₹549,100","₹549,101",
2017 Hyundai Elite i20,"40,991 km1st OwnerPetrol",Magna Executive 1.2 Manual,"₹558,599","₹558,600","₹558,601",
2014 Toyota Corolla Altis,"22,359 km2nd OwnerPetrol",J S Manual,"₹706,299","₹706,300","₹706,301",
2019 Hyundai VENUE,"8,917 km1st OwnerPetrol",1.0 TURBO GDI SX+ AT Automatic,"₹1,162,699","₹1,162,700","₹1,162,701",
2019 Hyundai VENUE,"7,776 km1st OwnerPetrol",1.0L Turbo GDI SX(O) MT Manual,"₹1,067,799","₹1,067,800","₹1,067,801",
2019 Hyundai VENUE,"26,448 km1st OwnerPetrol",1.0 TURBO GDI SX+ AT Automatic,"₹1,088,999","₹1,088,1000","₹1,088,1001",
2015 Toyota Innova,"165,870 km1st OwnerDiesel",2.5 VX 8 STR BS IV Manual,"₹858,699","₹858,700","₹858,701",
2016 Hyundai Elite i20,"45,565 km1st OwnerDiesel",1.4 CRDI ASTA (O) Manual,"₹641,499","₹641,500","₹641,501",
2015 Toyota Innova,"147,479 km1st OwnerDiesel",2.5 VX 7 STR BS IV Manual,"₹987,599","₹987,600","₹987,601",
2015 Maruti Celerio,"46,089 km1st OwnerPetrol",ZXI AMT Automatic,"₹454,899","₹454,900","₹454,901",
2019 KIA SELTOS,"14,320 km1st OwnerPetrol",GTX+ 1.4 MT Manual,"₹1,682,199","₹1,682,200","₹1,682,201",
2019 KIA SELTOS,"5,348 km1st OwnerPetrol",GTX+ 1.4 MT ,"₹1,816,899","₹1,816,900","₹1,816,901",
2018 Honda City,"18,363 km1st OwnerPetrol",V MT PETROL Manual,"₹901,099","₹901,100","₹901,101",
2017 Hyundai Verna,"43,660 km1st OwnerDiesel",1.6 SX (O) CRDI MT Manual,"₹1,101,799","₹1,101,800","₹1,101,801",
2017 Hyundai Elite i20,"22,484 km1st OwnerPetrol",Magna Executive 1.2 Manual,"₹577,399","₹577,400","₹577,401",
2015 Maruti Celerio,"14,997 km1st OwnerPetrol",VXI AMT Automatic,"₹416,899","₹416,900","₹416,901",
2016 Maruti Ciaz,"65,668 km1st OwnerDiesel",VDI+ SHVS Manual,"₹641,599","₹641,600","₹641,601",
2017 Hyundai Elite i20,"22,276 km2nd OwnerPetrol",SPORTZ 1.2 Manual,"₹586,699","₹586,700","₹586,701",
2019 KIA SELTOS,"12,046 km1st OwnerPetrol",GTX+ 1.4 MT Manual,"₹1,728,199","₹1,728,200","₹1,728,201",
2017 Hyundai Elite i20,"53,476 km2nd OwnerDiesel",1.4 CRDI ASTA (O) Manual,"₹634,699","₹634,700","₹634,701",
2017 Ford Ecosport,"44,755 km1st OwnerPetrol",1.5 TITANIUM TI VCT AT Automatic,"₹799,999","₹799,1000","₹799,1001",
2017 Maruti Celerio,"66,663 km1st OwnerPetrol",VXI Manual,"₹403,799","₹403,800","₹403,801",
2018 Honda City,"17,138 km2nd OwnerPetrol",VX CVT PETROL Automatic,"₹1,013,099","₹1,013,100","₹1,013,101",
2017 Hyundai Elite i20,"35,112 km1st OwnerPetrol",ASTA 1.2 Manual,"₹640,099","₹640,100","₹640,101",
2017 Hyundai Elite i20,"12,644 km1st OwnerPetrol",ASTA 1.2 Manual,"₹663,899","₹663,900","₹663,901",
2018 Ford Ecosport,"40,399 km1st OwnerPetrol",1.5 TITANIUM PLUS TI VCT AT Manual,"₹828,399","₹828,400","₹828,401",
2017 Maruti Baleno,"29,583 km1st OwnerPetrol",RS 1.0 PETROL Manual,"₹647,399","₹647,400","₹647,401",
2017 Maruti Swift,"6,595 km1st OwnerPetrol",VXI Manual,"₹565,499","₹565,500","₹565,501",
2014 Hyundai i20,"9,015 km2nd OwnerPetrol",ASTA 1.2 Manual,"₹496,699","₹496,700","₹496,701",
2017 Maruti Baleno,"31,950 km1st OwnerPetrol",ALPHA 1.2 K12 Manual,"₹639,399","₹639,400","₹639,401",
2014 Maruti Swift Dzire,"92,728 km2nd OwnerPetrol",VXI 1.2 BS IV Manual,"₹452,499","₹452,500","₹452,501",
2012 Maruti Swift Dzire,"171,266 km1st OwnerPetrol",VXI 1.2 BS IV Manual,"₹382,599","₹382,600","₹382,601",
2016 Maruti Swift Dzire,"37,551 km1st OwnerDiesel",VDI BS IV Manual,"₹631,199","₹631,200","₹631,201",
2016 Hyundai Grand i10,"59,532 km1st OwnerPetrol",SPORTS 1.2 VTVT Manual,"₹464,899","₹464,900","₹464,901",
2015 Maruti Swift Dzire,"51,437 km1st OwnerPetrol",VXI 1.2 BS IV Manual,"₹536,399","₹536,400","₹536,401",
2018 Maruti Vitara Brezza,"20,210 km1st OwnerDiesel",ZDI Manual,"₹863,599","₹863,600","₹863,601",
2015 Maruti Swift Dzire,"29,715 km1st OwnerPetrol",VXI 1.2 BS IV Manual,"₹534,899","₹534,900","₹534,901",
2019 Maruti Vitara Brezza,"45,082 km1st OwnerDiesel",ZDI PLUS Manual,"₹948,399","₹948,400","₹948,401",
2018 Maruti Eeco,"41,301 km1st OwnerPetrol + CNG",5 STR CNG WITH AC PLUSHTR Manual,"₹496,699","₹496,700","₹496,701",
2012 Maruti Swift Dzire,"133,942 km1st OwnerDiesel",VDI BS IV Manual,"₹430,099","₹430,100","₹430,101",
2019 Maruti IGNIS,"13,058 km1st OwnerPetrol",ZETA 1.2 K12 AMT Automatic,"₹585,199","₹585,200","₹585,201",
2015 Hyundai Grand i10,"22,961 km1st OwnerPetrol",SPORTZ 1.2 KAPPA VTVT Manual,"₹428,399","₹428,400","₹428,401",
2017 Hyundai Grand i10,"13,148 km1st OwnerDiesel",ASTA 1.2 CRDI Manual,"₹686,199","₹686,200","₹686,201",
2015 Hyundai Grand i10,"10,267 km1st OwnerPetrol",ASTA AT 1.2 KAPPA VTVT Manual,"₹482,999","₹482,1000","₹482,1001",
2015 Hyundai Grand i10,"9,078 km1st OwnerPetrol",SPORTS 1.2 VTVT Manual,"₹456,599","₹456,600","₹456,601",
2015 Maruti Wagon R 1.0,"19,758 km1st OwnerPetrol",LXI Manual,"₹379,899","₹379,900","₹379,901",
2016 Maruti Alto K10,"15,737 km1st OwnerPetrol",VXI AMT ,"₹332,599","₹332,600","₹332,601",
2015 Maruti Alto 800,"23,261 km1st OwnerPetrol",VXI Manual,"₹261,899","₹261,900","₹261,901",
2009 Toyota Corolla Altis,"53,743 km1st OwnerPetrol",VL AT Automatic,"₹357,899","₹357,900","₹357,901",
2016 Maruti Alto K10,"2,121 km1st OwnerPetrol",VXI Manual,"₹356,399","₹356,400","₹356,401",
2012 BMW X1,"52,029 km3rd OwnerDiesel",SDRIVE 20D Automatic,"₹830,599","₹830,600","₹830,601",
2015 Hyundai Elite i20,"7,448 km1st OwnerPetrol",MAGNA 1.2 Manual,"₹526,199","₹526,200","₹526,201",
2013 Maruti Alto K10,"41,769 km2nd OwnerPetrol",VXI Manual,"₹228,999","₹228,1000","₹228,1001",
2016 Maruti Celerio,"32,156 km1st OwnerPetrol",ZXI OPT AMT Automatic,"₹407,599","₹407,600","₹407,601",
2014 Ford Ecosport,"49,657 km1st OwnerPetrol",1.5 TITANIUM TI VCT AT Automatic,"₹577,099","₹577,100","₹577,101",
2015 Mahindra XUV500,"118,491 km1st OwnerDiesel",W8 FWD Manual,"₹664,899","₹664,900","₹664,901",
2018 Ford Ecosport,"43,640 km1st OwnerDiesel",1.5 TREND TDCI Manual,"₹689,499","₹689,500","₹689,501"," ₹9,000 OFF"
2015 Mahindra XUV500,"112,788 km3rd OwnerDiesel",W8 FWD Manual,"₹677,699","₹677,700","₹677,701"," ₹29,000 OFF"
2017 Maruti Swift,"14,505 km1st OwnerPetrol",ZXI Manual,"₹580,299","₹580,300","₹580,301",
2016 Maruti Celerio,"30,840 km1st OwnerDiesel",ZDI Manual,"₹414,699","₹414,700","₹414,701",
2020 Mahindra Bolero,"15,137 km1st OwnerDiesel",B6 (O) Manual,"₹885,188","₹885,189","₹885,190",
2016 Hyundai i20 Active,"18,400 km2nd OwnerPetrol",1.2 S Manual,"₹551,299","₹551,300","₹551,301",
2016 Volkswagen Vento,"68,459 km1st OwnerPetrol",HIGHLINE 1.2 TSI AT ,"₹658,899","₹658,900","₹658,901",
2017 Maruti Alto 800,"20,379 km1st OwnerPetrol",LXI Manual,"₹328,999","₹328,1000","₹328,1001",
2017 Hyundai Elite i20,"25,111 km1st OwnerPetrol",ASTA 1.2 Manual,"₹634,299","₹634,300","₹634,301",
2016 Hyundai Elite i20,"67,589 km2nd OwnerPetrol",MAGNA 1.2 Manual,"₹520,399","₹520,400","₹520,401",
2011 Maruti Swift Dzire,"89,089 km2nd OwnerPetrol",VXI 1.2 BS IV Manual,"₹321,399","₹321,400","₹321,401",
2015 Hyundai Creta,"110,584 km1st OwnerDiesel",1.6 SX CRDI Manual,"₹811,699","₹811,700","₹811,701",
2015 Hyundai i20 Active,"32,100 km2nd OwnerDiesel",1.4 SX Manual,"₹615,899","₹615,900","₹615,901",
